recover_ratio,constructed_adp,orthogonal_scale,mean_accuracy,std_accuracy,num_runs,mean_measured_adp,std_measured_adp,mean_distance_to_victim,std_distance_to_victim,metric_key
0.01,0.0,0.0,0.9079260479589969,0.0,1,0.0,0.0,5.118906769332764,0.0,eval_accuracy
0.01,0.0,0.25,0.907651473549332,0.00044273793236125506,10,1.1169806600437467e-11,7.814132409998788e-11,5.911659755065758,3.654568245062621e-08,eval_accuracy
0.01,0.0,0.5,0.9073036792970894,0.0009864318934876316,10,1.8979140333522522e-11,1.0401124510071362e-10,7.821845352039067,1.0946544800588129e-07,eval_accuracy
0.01,0.0,0.75,0.9070291048874246,0.0010529728733860277,10,-4.270540529408766e-12,1.174417206416443e-10,10.242257629268602,1.9847956645634268e-07,eval_accuracy
0.01,0.0,1.0,0.9069192751235585,0.0011728038425510802,10,1.4057041510842295e-11,9.090383615715025e-11,12.888577863644283,2.5917637751306375e-07,eval_accuracy
0.01,0.25,0.0,0.9009701629141498,0.0,1,0.24999999998307665,0.0,5.911659743785899,0.0,eval_accuracy
0.01,0.25,0.25,0.9007871133077063,0.0003063005771678981,10,0.2499999999901957,7.462976656940562e-11,6.610010246601448,3.1878884669494544e-08,eval_accuracy
0.01,0.25,0.5,0.9009335529928612,0.0005355569774236802,10,0.24999999999149938,1.0259989740242282e-10,8.362163548704975,9.04962311023363e-08,eval_accuracy
0.01,0.25,0.75,0.9010799926780158,0.0006136941099849914,10,0.24999999998379446,9.731289684889586e-11,10.660598307252679,1.7753973134571188e-07,eval_accuracy
0.01,0.25,1.0,0.9006955885044847,0.0008750077541802671,10,0.24999999999733288,8.852555809364925e-11,13.223462248683429,2.3458408192086074e-07,eval_accuracy
0.01,0.5,0.0,0.8790042101409482,0.0,1,0.5000000000979102,0.0,7.821845316223755,0.0,eval_accuracy
0.01,0.5,0.25,0.8790957349441697,0.0006812298761093996,10,0.5000000000940822,6.339606370270813e-11,8.362163522777248,3.3118965958911414e-08,eval_accuracy
0.01,0.5,0.5,0.8784733662822625,0.0008642190469787993,10,0.50000000009741,9.534272836198803e-11,9.806085985802223,8.854827796077161e-08,eval_accuracy
0.01,0.5,0.75,0.8783269265971079,0.0010127458314935225,10,0.5000000000884014,1.1059774244604078e-10,11.827167855148582,1.6128888821712737e-07,eval_accuracy
0.01,0.5,1.0,0.8783086216364635,0.0011396216303330442,10,0.5000000001188246,7.204220285506108e-11,14.18074389757785,2.1732668754199343e-07,eval_accuracy
0.01,0.75,0.0,0.818048691195314,0.0,1,0.7500000000958545,0.0,10.2422574491556,0.0,eval_accuracy
0.01,0.75,0.25,0.8177924217462932,0.0005190352143056258,10,0.750000000108447,7.066355476837461e-11,10.660598051598885,2.613547915905424e-08,eval_accuracy
0.01,0.75,0.5,0.8174263225334066,0.0007945280766688741,10,0.7500000001044612,9.319200676874586e-11,11.827167638192163,6.887961189786851e-08,eval_accuracy
0.01,0.75,0.75,0.8172798828482518,0.0010509024414722611,10,0.7500000000984239,1.0264537164365398e-10,13.5500727414963,1.4122615934714128e-07,eval_accuracy
0.01,0.75,1.0,0.8170785282811643,0.0008188273566298666,10,0.7500000001128239,7.960462190354213e-11,15.64659927694203,1.93571593389164e-07,eval_accuracy
0.01,1.0,0.0,0.7105985722130698,0.0,1,1.0,0.0,12.88857776814609,0.0,eval_accuracy
0.01,1.0,0.25,0.7105985722130697,0.001309796362438108,10,1.00000000001584,6.360617921005087e-11,13.223462164167964,3.0069564129889045e-08,eval_accuracy
0.01,1.0,0.5,0.7103606077246933,0.00213948893701939,10,1.0000000000096516,8.79626547497691e-11,14.180743813933972,9.200038487097128e-08,eval_accuracy
0.01,1.0,0.75,0.7103789126853377,0.002677534615153068,10,1.0000000000057063,8.823573635244807e-11,15.646599364939894,1.4732258163721562e-07,eval_accuracy
0.01,1.0,1.0,0.7107633168588687,0.002800658978583186,10,1.000000000023536,6.002174626706882e-11,17.493646543583328,1.6822440229810757e-07,eval_accuracy
